code,name,market
5857,ＡＲＥホールディングス,プライム
5891,魁力屋,スタンダード
5929,三和ホールディングス,プライム
5933,アルインコ,プライム
5938,ＬＩＸＩＬ,プライム
5946,長府製作所,プライム
5985,サンコール,スタンダード
5991,日本発條,プライム
6016,ジャパンエンジンコーポレーション,スタンダード
6030,アドベンチャー,グロース
6058,ベクトル,プライム
6098,リクルートホールディングス,プライム
6113,アマダ,プライム
6134,ＦＵＪＩ,プライム
6135,牧野フライス製作所,プライム
6140,旭ダイヤモンド工業,プライム
6141,ＤＭＧ森精機,プライム
6146,ディスコ,プライム
6178,日本郵政,プライム
6201,豊田自動織機,プライム
6227,ＡＩメカテック,スタンダード
6232,ＡＣＳＬ,グロース
6254,野村マイクロ・サイエンス,プライム
6268,ナブテスコ,プライム
6269,三井海洋開発,プライム
6273,ＳＭＣ,プライム
6278,ユニオンツール,プライム
6287,サトー,プライム
6301,小松製作所,プライム
6302,住友重機械工業,プライム
6305,日立建機,プライム
6315,ＴＯＷＡ,プライム
6323,ローツェ,プライム
6324,ハーモニック・ドライブ・システムズ,プライム
6326,クボタ,プライム
6328,荏原実業,プライム
6330,東洋エンジニアリング,プライム
6335,東京機械製作所,スタンダード
6356,日本ギア工業,スタンダード
6361,荏原製作所,プライム
6366,千代田化工建設,スタンダード
6367,ダイキン工業,プライム
6368,オルガノ,プライム
6370,栗田工業,プライム
6383,ダイフク,プライム
6407,ＣＫＤ,プライム
6432,竹内製作所,プライム
6460,セガサミーホールディングス,プライム
6471,日本精工,プライム
6479,ミネベアミツミ,プライム
6481,ＴＨＫ,プライム
6501,日立製作所,プライム
6503,三菱電機,プライム
6504,富士電機,プライム
6506,安川電機,プライム
6507,シンフォニアテクノロジー,プライム
6521,オキサイド,グロース
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,プライム
6526,ソシオネクスト,プライム
6532,ベイカレント,プライム
6586,マキタ,プライム
6590,芝浦メカトロニクス,プライム
6594,ニデック,プライム
6613,ＱＤレーザ,グロース
6620,宮越ホールディングス,プライム
6622,ダイヘン,プライム
6645,オムロン,プライム
6674,ジーエス・ユアサ　コーポレーション,プライム
6701,日本電気,プライム
6702,富士通,プライム
6723,ルネサスエレクトロニクス,プライム
6724,セイコーエプソン,プライム
6728,アルバック,プライム
6740,ジャパンディスプレイ,プライム
6752,パナソニック　ホールディングス,プライム
6753,シャープ,プライム
6754,アンリツ,プライム
6758,ソニーグループ,プライム
6762,ＴＤＫ,プライム
6770,アルプスアルパイン,プライム
6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,スタンダード
6779,日本電波工業,プライム
6787,メイコー,プライム
6806,ヒロセ電機,プライム
6814,古野電気,プライム
6834,精工技研,スタンダード
6841,横河電機,プライム
6855,日本電子材料,スタンダード
6856,堀場製作所,プライム
6857,アドバンテスト,プライム
6861,キーエンス,プライム
6869,シスメックス,プライム
6871,日本マイクロニクス,プライム
6890,フェローテック,スタンダード
6902,デンソー,プライム
6920,レーザーテック,プライム
6941,山一電機,プライム
6952,カシオ計算機,プライム
6954,ファナック,プライム
6961,エンプラス,プライム
6963,ローム,プライム
6965,浜松ホトニクス,プライム
6971,京セラ,プライム
6976,太陽誘電,プライム
6981,村田製作所,プライム
6988,日東電工,プライム
6993,大黒屋ホールディングス,スタンダード
6997,日本ケミコン,プライム
7003,三井Ｅ＆Ｓ,プライム
7011,三菱重工業,プライム
7012,川崎重工業,プライム
7013,ＩＨＩ,プライム
7014,名村造船所,スタンダード
7044,ピアラ,スタンダード
7128,ユニソルホールディングス,プライム
7167,めぶきフィナンシャルグループ,プライム
7173,東京きらぼしフィナンシャルグループ,プライム
7181,かんぽ生命保険,プライム
7182,ゆうちょ銀行,プライム
7186,横浜フィナンシャルグループ,プライム
7196,Ｃａｓａ,スタンダード
7201,日産自動車,プライム
7202,いすゞ自動車,プライム
7203,トヨタ自動車,プライム
7211,三菱自動車工業,プライム
7220,武蔵精密工業,プライム
7236,ティラド,プライム
7259,アイシン,プライム
7261,マツダ,プライム
7267,本田技研工業,プライム
7269,スズキ,プライム
7270,ＳＵＢＡＲＵ,プライム
7272,ヤマハ発動機,プライム
7282,豊田合成,プライム
7283,愛三工業,プライム
7309,シマノ,プライム
7352,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,グロース
7453,良品計画,プライム
7460,ヤギ,スタンダード
7532,パン・パシフィック・インターナショナルホールディングス,プライム
7550,ゼンショーホールディングス,プライム
7552,ハピネット,プライム
7701,島津製作所,プライム
7717,ブイ・テクノロジー,プライム
7721,東京計器,プライム
7729,東京精密,プライム
7731,ニコン,プライム
7733,オリンパス,プライム
7735,ＳＣＲＥＥＮホールディングス,プライム
7741,ＨＯＹＡ,プライム
7746,岡本硝子,スタンダード
7747,朝日インテック,プライム
7751,キヤノン,プライム
7752,リコー,プライム
7777,スリー・ディー・マトリックス,グロース
7826,フルヤ金属,プライム
7832,バンダイナムコホールディングス,プライム
7846,パイロットコーポレーション,プライム
7867,タカラトミー,プライム
7911,ＴＯＰＰＡＮホールディングス,プライム
7912,大日本印刷,プライム
7936,アシックス,プライム
7956,ピジョン,プライム
7974,任天堂,プライム
7976,三菱鉛筆,プライム
8001,伊藤忠商事,プライム
8002,丸紅,プライム
8015,豊田通商,プライム
8031,三井物産,プライム
8035,東京エレクトロン,プライム
8053,住友商事,プライム
8058,三菱商事,プライム
8113,ユニ・チャーム,プライム
8136,サンリオ,プライム
8227,しまむら,プライム
8233,高島屋,プライム
8252,丸井グループ,プライム
8253,クレディセゾン,プライム
8267,イオン,プライム
8303,ＳＢＩ新生銀行,プライム
8304,あおぞら銀行,プライム
8306,三菱ＵＦＪフィナンシャル・グループ,プライム
8308,りそなホールディングス,プライム
8309,三井住友トラストグループ,プライム
8316,三井住友フィナンシャルグループ,プライム
8331,千葉銀行,プライム
8334,群馬銀行,プライム
8354,ふくおかフィナンシャルグループ,プライム
8359,八十二長野銀行,プライム
8377,ほくほくフィナンシャルグループ,プライム
8411,みずほフィナンシャルグループ,プライム
8473,ＳＢＩホールディングス,プライム
8524,北洋銀行,プライム
8591,オリックス,プライム
8593,三菱ＨＣキャピタル,プライム
8595,ジャフコ　グループ,プライム
8601,大和証券グループ本社,プライム
8604,野村ホールディングス,プライム
8630,ＳＯＭＰＯホールディングス,プライム
8697,日本取引所グループ,プライム
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,プライム
8729,ソニーフィナンシャルグループ,プライム
8750,第一ライフグループ,プライム
8766,東京海上ホールディングス,プライム
8795,Ｔ＆Ｄホールディングス,プライム
8801,三井不動産,プライム
8802,三菱地所,プライム
8804,東京建物,プライム
8830,住友不動産,プライム
8912,エリアクエスト,スタンダード
9005,東急,プライム
9020,東日本旅客鉄道,プライム
9021,西日本旅客鉄道,プライム
9022,東海旅客鉄道,プライム
9023,東京地下鉄,プライム
9024,西武ホールディングス,プライム
9041,近鉄グループホールディングス,プライム
9042,阪急阪神ホールディングス,プライム
9101,日本郵船,プライム
9104,商船三井,プライム
9107,川崎汽船,プライム
9142,九州旅客鉄道,プライム
9143,ＳＧホールディングス,プライム
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,プライム
9201,日本航空,プライム
9202,ＡＮＡホールディングス,プライム
9412,スカパーＪＳＡＴ,プライム
9413,テレビ東京ホールディングス,プライム
9432,ＮＴＴ,プライム
9433,ＫＤＤＩ,プライム
9434,ソフトバンク,プライム
9435,光通信,プライム
9501,東京電力ホールディングス,プライム
9502,中部電力,プライム
9503,関西電力,プライム
9506,東北電力,プライム
9508,九州電力,プライム
9509,北海道電力,プライム
9513,電源開発,プライム
9531,東京瓦斯,プライム
9532,大阪瓦斯,プライム
9602,東宝,プライム
9616,共立メンテナンス,プライム
9672,東京都競馬,プライム
9684,スクウェア・エニックス・ホールディングス,プライム
9697,カプコン,プライム
9735,セコム,プライム
9766,コナミグループ,プライム
9843,ニトリホールディングス,プライム
9962,ミスミグループ本社,プライム
9983,ファーストリテイリング,プライム
9984,ソフトバンクグループ,プライム
